container                   position            written                                                                                                                    blocks  breaks  ok
p                           mid                 "one\\\ntwo\n"                                                                                                             1       1       parses
p                           final               "one two\n"                                                                                                                1       0       parses
p                           final-editor        "one two\n"                                                                                                                1       0       parses
p                           final-editor-twice  "one two\n"                                                                                                                1       0       parses
h1                          mid                 "one\\\ntwo\n===\n"                                                                                                        1       1       parses
h1                          final               "# one two\n"                                                                                                              1       0       parses
h1                          final-editor        "# one two\n"                                                                                                              1       0       parses
h1                          final-editor-twice  "# one two\n"                                                                                                              1       0       parses
h2                          mid                 "one\\\ntwo\n---\n"                                                                                                        1       1       parses
h2                          final               "## one two\n"                                                                                                             1       0       parses
h2                          final-editor        "## one two\n"                                                                                                             1       0       parses
h2                          final-editor-twice  "## one two\n"                                                                                                             1       0       parses
h3                          mid                 "### one two\n"                                                                                                            1       0       parses
h3                          final               "### one two\n"                                                                                                            1       0       parses
h3                          final-editor        "### one two\n"                                                                                                            1       0       parses
h3                          final-editor-twice  "### one two\n"                                                                                                            1       0       parses
h4                          mid                 "#### one two\n"                                                                                                           1       0       parses
h4                          final               "#### one two\n"                                                                                                           1       0       parses
h4                          final-editor        "#### one two\n"                                                                                                           1       0       parses
h4                          final-editor-twice  "#### one two\n"                                                                                                           1       0       parses
h5                          mid                 "##### one two\n"                                                                                                          1       0       parses
h5                          final               "##### one two\n"                                                                                                          1       0       parses
h5                          final-editor        "##### one two\n"                                                                                                          1       0       parses
h5                          final-editor-twice  "##### one two\n"                                                                                                          1       0       parses
h6                          mid                 "###### one two\n"                                                                                                         1       0       parses
h6                          final               "###### one two\n"                                                                                                         1       0       parses
h6                          final-editor        "###### one two\n"                                                                                                         1       0       parses
h6                          final-editor-twice  "###### one two\n"                                                                                                         1       0       parses
blockquote                  mid                 "> one\\\n> two\n"                                                                                                         1       1       parses
blockquote                  final               "> one two\n"                                                                                                              1       0       parses
blockquote                  final-editor        "> one two\n"                                                                                                              1       0       parses
blockquote                  final-editor-twice  "> one two\n"                                                                                                              1       0       parses
li                          mid                 "* one\\\n  two\n"                                                                                                         1       1       parses
li                          final               "* one two\n"                                                                                                              1       0       parses
li                          final-editor        "* one two\n"                                                                                                              1       0       parses
li                          final-editor-twice  "* one two\n"                                                                                                              1       0       parses
td                          mid                 "| h       |\n| ------- |\n| one two |\n"                                                                                  1       0       parses
td                          final               "| h       |\n| ------- |\n| one two |\n"                                                                                  1       0       parses
td                          final-editor        "| h       |\n| ------- |\n| one two |\n"                                                                                  1       0       parses
td                          final-editor-twice  "| h       |\n| ------- |\n| one two |\n"                                                                                  1       0       parses
code_block                  -                   skipped: wants a literal newline, not a break                                                                              -       -       -
hr                          -                   skipped: void                                                                                                              -       -       -
html                        -                   skipped: carries a raw value, no inline children                                                                           -       -       -
img                         -                   skipped: void                                                                                                              -       -       -
invalid_markdown            -                   skipped: carries a parse error, not authored content                                                                       -       -       -
mdxJsxFlowElement           -                   skipped: children live in props, covered by the mdx fixtures                                                               -       -       -
ol                          -                   skipped: holds list items                                                                                                  -       -       -
ul                          -                   skipped: holds list items                                                                                                  -       -       -
table                       -                   skipped: holds rows                                                                                                        -       -       -
tr                          -                   skipped: holds cells                                                                                                       -       -       -
a (inline)                  mid                 "[one\\\ntwo](/x)\n"                                                                                                       1       1       parses
a (inline)                  final               "[one two](/x)\n"                                                                                                          1       0       parses
a (inline)                  final-editor        "[one two](/x)\n"                                                                                                          1       0       parses
a (inline)                  final-editor-twice  "[one two](/x)\n"                                                                                                          1       0       parses
text (inline)               -                   skipped: the injection site of every block row above                                                                       -       -       -
img (inline)                -                   skipped: void                                                                                                              -       -       -
html_inline (inline)        -                   skipped: carries a raw value, no inline children                                                                           -       -       -
mdxJsxTextElement (inline)  -                   skipped: children live in props                                                                                            -       -       -
a in h3                     mid                 "### [one two](/x)\n"                                                                                                      1       0       parses
a in h3                     final               "### [one two](/x)\n"                                                                                                      1       0       parses
a in h3                     final-editor        "### [one two](/x)\n"                                                                                                      1       0       parses
a in h3                     final-editor-twice  "### [one two](/x)\n"                                                                                                      1       0       parses
a in li                     mid                 "* [one\\\n  two](/x)\n"                                                                                                   1       1       parses
a in li                     final               "* [one two](/x)\n"                                                                                                        1       0       parses
a in li                     final-editor        "* [one two](/x)\n"                                                                                                        1       0       parses
a in li                     final-editor-twice  "* [one two](/x)\n"                                                                                                        1       0       parses
a in blockquote             mid                 "> [one\\\n> two](/x)\n"                                                                                                   1       1       parses
a in blockquote             final               "> [one two](/x)\n"                                                                                                        1       0       parses
a in blockquote             final-editor        "> [one two](/x)\n"                                                                                                        1       0       parses
a in blockquote             final-editor-twice  "> [one two](/x)\n"                                                                                                        1       0       parses
html after                  before-neighbour    "one two  <em>x</em>\n"                                                                                                    1       0       parses
inline template after       -                   skipped: needs a field carrying templates, which this matrix has none of — covered end to end in break-neighbours.test.ts  -       -       -
